Entry	Entry name	Protein names	Gene names	Organism	Organism ID	Length	Mass	EC number	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	PubMed ID
Q5UQI3	CP51_MIMIV	Probable lanosterol 14-alpha demethylase (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	MIMI_L808	Acanthamoeba polyphaga mimivirus (APMV)	212035	709	82,186	1.14.13.70	sterol biosynthetic process [GO:0016126]	membrane [GO:0016020]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; methyltransferase activity [GO:0008168]; sterol 14-demethylase activity [GO:0008398]	15486256; 19515774
Q5UQB5	TOP1P_MIMIV	DNA topoisomerase 1 type prokaryotic (EC 5.99.1.2)	TOP1P MIMI_L221	Acanthamoeba polyphaga mimivirus (APMV)	212035	854	96,946	5.99.1.2	DNA topological change [GO:0006265]	virion [GO:0019012]	DNA binding [GO:0003677]; DNA topoisomerase type I activity [GO:0003917]; metal ion binding [GO:0046872]	15486256; 16971431
Q7T6X2	YR826_MIMIV	Putative serine/threonine-protein kinase/receptor R826 (EC 2.7.11.1)	MIMI_R826	Acanthamoeba polyphaga mimivirus (APMV)	212035	1657	186,740	2.7.11.1	cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; phosphorus-oxygen lyase activity [GO:0016849]; protein serine/threonine kinase activity [GO:0004674]	15486256
Q7T6Y2	YR831_MIMIV	Putative serine/threonine-protein kinase/receptor R831 (EC 2.7.11.1)	MIMI_R831	Acanthamoeba polyphaga mimivirus (APMV)	212035	1624	182,517	2.7.11.1	cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; phosphorus-oxygen lyase activity [GO:0016849]; protein serine/threonine kinase activity [GO:0004674]	15486256
Q5UQG7	YR818_MIMIV	Putative serine/threonine-protein kinase/receptor R818 (EC 2.7.11.1)	MIMI_R818	Acanthamoeba polyphaga mimivirus (APMV)	212035	1651	184,362	2.7.11.1	cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; phosphorus-oxygen lyase activity [GO:0016849]; protein serine/threonine kinase activity [GO:0004674]	15486256
Q5UP71	PPIL_MIMIV	Structural PPIase-like protein L605 (Mimicyp)	MIMI_L605	Acanthamoeba polyphaga mimivirus (APMV)	212035	234	26,539		protein folding [GO:0006457]	host cell cytoplasm [GO:0030430]; virion [GO:0019012]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	15486256; 18342330
Q5UQ88	UBC3_MIMIV	Probable ubiquitin-conjugating enzyme E2 R521 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R521) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	MIMI_R521	Acanthamoeba polyphaga mimivirus (APMV)	212035	1441	165,046	2.3.2.23	DNA protection [GO:0042262]; protein ubiquitination [GO:0016567]	integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; transferase activity [GO:0016740]	15486256
Q5UQE1	ASNS_MIMIV	Probable asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase)	MIMI_R475	Acanthamoeba polyphaga mimivirus (APMV)	212035	550	63,335	6.3.5.4	glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]		asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]	15486256
Q5UP57	P4H_MIMIV	Putative prolyl 4-hydroxylase (4-PH) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase)	MIMI_L593	Acanthamoeba polyphaga mimivirus (APMV)	212035	242	27,901	1.14.11.2		virion [GO:0019012]	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-proline 4-dioxygenase activity [GO:0004656]	15486256; 16971431
Q5UR82	SYM_MIMIV	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MARS MIMI_R639	Acanthamoeba polyphaga mimivirus (APMV)	212035	550	63,682	6.1.1.10	methionyl-tRNA aminoacylation [GO:0006431]	host cell cytoplasm [GO:0030430]	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; RNA binding [GO:0003723]	15486256; 17855524
Q7T6Y9	RIR2_MIMIV	Ribonucleoside-diphosphate reductase small chain (EC 1.17.4.1) (Ribonucleotide reductase small subunit)	RNR2 MIMI_L312	Acanthamoeba polyphaga mimivirus (APMV)	212035	417	48,607	1.17.4.1	deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]		metal ion binding [GO:0046872]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	15486256
Q5UQ40	UBC4_MIMIV	Probable bifunctional E2/E3 enzyme R795 [Includes: E3 ubiquitin-protein ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Ubiquitin-conjugating enzyme E2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme)]	MIMI_R795	Acanthamoeba polyphaga mimivirus (APMV)	212035	1297	150,351	2.3.2.27; 2.3.2.23			ATP binding [GO:0005524]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	15486256
Q5UQI4	DHCR7_MIMIV	Probable 7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Sterol Delta(7)-reductase)	DHCR7 MIMI_R807	Acanthamoeba polyphaga mimivirus (APMV)	212035	447	51,692	1.3.1.21	cholesterol biosynthetic process [GO:0006695]	integral component of membrane [GO:0016021]	7-dehydrocholesterol reductase activity [GO:0047598]; NADP binding [GO:0050661]	15486256
Q5UQ00	FPG_MIMIV	Probable formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18)	MIMI_L315	Acanthamoeba polyphaga mimivirus (APMV)	212035	287	33,463	3.2.2.23; 4.2.99.18	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]		damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; zinc ion binding [GO:0008270]	15486256
Q5UQ27	RABL_MIMIV	Probable Rab-related GTPase	MIMI_R214	Acanthamoeba polyphaga mimivirus (APMV)	212035	215	24,732		protein transport [GO:0015031]	host cell plasma membrane [GO:0020002]; membrane [GO:0016020]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	15486256
Q5UPL2	YR135_MIMIV	Putative GMC-type oxidoreductase R135 (EC 1.-.-.-)	MIMI_R135	Acanthamoeba polyphaga mimivirus (APMV)	212035	702	76,947	1.-.-.-		host cell membrane [GO:0033644]; integral component of membrane [GO:0016021]; virion [GO:0019012]	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	15486256; 16971431
Q5UQR0	DPOL_MIMIV	DNA polymerase (EC 2.7.7.7) [Cleaved into: Mimv polB intein]	POLB MIMI_R322	Acanthamoeba polyphaga mimivirus (APMV)	212035	1740	201,945	2.7.7.7	DNA replication [GO:0006260]; viral DNA genome replication [GO:0039693]		3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; nucleotide binding [GO:0000166]	15707490; 15486256
Q7T6X7	RPO2_MIMIV	DNA-directed RNA polymerase subunit 2 (EC 2.7.7.6)	RPO2 MIMI_L244	Acanthamoeba polyphaga mimivirus (APMV)	212035	1196	136,048	2.7.7.6	transcription, DNA-templated [GO:0006351]	virion [GO:0019012]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]	15486256; 16971431
Q7T6X6	GFAT_MIMIV	Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	MIMI_L619	Acanthamoeba polyphaga mimivirus (APMV)	212035	606	68,570	2.6.1.16	glutamine metabolic process [GO:0006541]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]		carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]	15486256
Q5UP25	KITH_MIMIV	Thymidine kinase (EC 2.7.1.21)	TK MIMI_L258	Acanthamoeba polyphaga mimivirus (APMV)	212035	225	25,909	2.7.1.21	DNA biosynthetic process [GO:0071897]		ATP binding [GO:0005524]; metal ion binding [GO:0046872]; thymidine kinase activity [GO:0004797]	15486256
Q5UQ90	YL532_MIMIV	Cytochrome P450-like protein L532 (EC 1.14.14.-)	MIMI_L532	Acanthamoeba polyphaga mimivirus (APMV)	212035	468	54,115	1.14.14.-		host cell membrane [GO:0033644]; integral component of membrane [GO:0016021]; virion [GO:0019012]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	15486256; 16971431
Q5UQC9	UBC1_MIMIV	Probable ubiquitin-conjugating enzyme E2 L460 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L460) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	UBC MIMI_L460	Acanthamoeba polyphaga mimivirus (APMV)	212035	158	18,677	2.3.2.23	protein ubiquitination [GO:0016567]		ATP binding [GO:0005524]; transferase activity [GO:0016740]	15486256
Q5UPV8	MCAR_MIMIV	Mitochondrial carrier-like protein L276 (VMC1) (Viral mitochondrial carrier)	MIMI_L276	Acanthamoeba polyphaga mimivirus (APMV)	212035	237	27,319		transport [GO:0006810]	host cell mitochondrial inner membrane [GO:0044192]; integral component of membrane [GO:0016021]		15486256; 17229695
Q5UQJ6	YR400_MIMIV	Putative serine/threonine-protein kinase R400 (EC 2.7.11.1)	MIMI_R400	Acanthamoeba polyphaga mimivirus (APMV)	212035	467	54,371	2.7.11.1		virion [GO:0019012]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	15486256; 16971431
Q5UPZ2	YR301_MIMIV	Putative serine/threonine-protein kinase R301 (EC 2.7.11.1)	MIMI_R301	Acanthamoeba polyphaga mimivirus (APMV)	212035	397	47,356	2.7.11.1		virion [GO:0019012]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	15486256; 16971431
Q5UPW7	UBPL2_MIMIV	Putative ubiquitin carboxyl-terminal hydrolase L293 (EC 3.4.19.12) (Deubiquitinating enzyme L293) (Ubiquitin thioesterase L293) (Ubiquitin-specific-processing protease L293)	MIMI_L293	Acanthamoeba polyphaga mimivirus (APMV)	212035	445	50,458	3.4.19.12	protein deubiquitination [GO:0016579]	virion [GO:0019012]	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]	15486256; 16971431
Q5UNT7	YR679_MIMIV	Putative serine/threonine-protein kinase R679 (EC 2.7.11.1)	MIMI_R679	Acanthamoeba polyphaga mimivirus (APMV)	212035	694	80,144	2.7.11.1		virion [GO:0019012]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	15486256; 16971431
Q7T6Y4	DPOLX_MIMIV	Probable DNA polymerase family X (EC 2.7.7.7)	MIMI_L318	Acanthamoeba polyphaga mimivirus (APMV)	212035	354	40,612	2.7.7.7	DNA repair [GO:0006281]; DNA replication [GO:0006260]	host cell nucleus [GO:0042025]; virion [GO:0019012]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; lyase activity [GO:0016829]	15486256; 16971431
Q5UQD1	YR458_MIMIV	Putative ATP-dependent RNA helicase R458 (EC 3.6.4.13)	MIMI_R458	Acanthamoeba polyphaga mimivirus (APMV)	212035	524	59,563	3.6.4.13			ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	15486256
Q5UR02	CHLE_MIMIV	Probable cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase)	MIMI_L906	Acanthamoeba polyphaga mimivirus (APMV)	212035	579	64,868	3.1.1.8			cholinesterase activity [GO:0004104]	15486256
Q5UQ57	UBC2_MIMIV	Probable ubiquitin-conjugating enzyme E2 L709 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L709) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	MIMI_L709	Acanthamoeba polyphaga mimivirus (APMV)	212035	388	42,724	2.3.2.23	protein ubiquitination [GO:0016567]		ATP binding [GO:0005524]; transferase activity [GO:0016740]	15486256
Q5UQD2	PNKP_MIMIV	Putative bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]	MIMI_L469	Acanthamoeba polyphaga mimivirus (APMV)	212035	421	49,258	3.1.3.32; 2.7.1.78			ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; polynucleotide 3'-phosphatase activity [GO:0046403]	15486256
Q5UQ96	YL540_MIMIV	Putative ATP-dependent RNA helicase L540 (EC 3.6.4.13)	MIMI_L540	Acanthamoeba polyphaga mimivirus (APMV)	212035	695	79,556	3.6.4.13		virion [GO:0019012]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	15486256; 16971431
Q7T6X3	YR563_MIMIV	Putative ATP-dependent RNA helicase R563 (EC 3.6.4.13)	MIMI_R563	Acanthamoeba polyphaga mimivirus (APMV)	212035	573	66,973	3.6.4.13		virion [GO:0019012]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	15486256; 16971431
Q5UP36	SYC_MIMIV	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	CARS MIMI_L164	Acanthamoeba polyphaga mimivirus (APMV)	212035	509	59,332	6.1.1.16	tRNA aminoacylation for protein translation [GO:0006418]		ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; metal ion binding [GO:0046872]	15486256
Q5UQW0	YL377_MIMIV	Putative ATP-dependent RNA helicase L377 (EC 3.6.4.13)	MIMI_L377	Acanthamoeba polyphaga mimivirus (APMV)	212035	1147	133,977	3.6.4.13		virion [GO:0019012]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	15486256; 16971431
Q5UPY4	END4_MIMIV	Putative endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	MIMI_R296	Acanthamoeba polyphaga mimivirus (APMV)	212035	312	34,857	3.1.21.2	DNA repair [GO:0006281]		deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	15486256
Q5UPX0	YR290_MIMIV	Putative ATP-dependent RNA helicase R290 (EC 3.6.4.13)	MIMI_R290	Acanthamoeba polyphaga mimivirus (APMV)	212035	548	62,737	3.6.4.13	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATP-dependent 3'-5' DNA helicase activity [GO:0043140]; nucleic acid binding [GO:0003676]	15486256
Q5UQ78	YR517_MIMIV	Putative serine/threonine-protein kinase R517/R518 (EC 2.7.11.1)	MIMI_R517 MIMI_R518	Acanthamoeba polyphaga mimivirus (APMV)	212035	450	51,879	2.7.11.1			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	15486256; 
Q5UQC1	YL232_MIMIV	Putative serine/threonine-protein kinase L232 (EC 2.7.11.1)	MIMI_L232	Acanthamoeba polyphaga mimivirus (APMV)	212035	633	76,003	2.7.11.1			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	15486256
Q5UPZ9	GNA1_MIMIV	Probable glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)	MIMI_L316	Acanthamoeba polyphaga mimivirus (APMV)	212035	148	17,017	2.3.1.4	UDP-N-acetylglucosamine biosynthetic process [GO:0006048]		glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343]	15486256
Q5UP78	YR001_MIMIV	Putative replication origin-binding protein (OBP) (EC 3.6.4.-)	MIMI_R1	Acanthamoeba polyphaga mimivirus (APMV)	212035	795	93,130	3.6.4.-	DNA replication [GO:0006260]		ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; helicase activity [GO:0004386]	15486256
Q5UQS6	PAP1_MIMIV	Putative poly(A) polymerase catalytic subunit (EC 2.7.7.19)	MIMI_R341	Acanthamoeba polyphaga mimivirus (APMV)	212035	584	68,247	2.7.7.19	mRNA processing [GO:0006397]; transcription, DNA-templated [GO:0006351]	virion [GO:0019012]	ATP binding [GO:0005524]; polynucleotide adenylyltransferase activity [GO:0004652]	15486256; 16971431
Q5UQH3	53DR_MIMIV	Putative 5'(3')-deoxyribonucleotidase R824 (EC 3.1.3.-)	MIMI_R824	Acanthamoeba polyphaga mimivirus (APMV)	212035	221	25,469	3.1.3.-	deoxyribonucleotide catabolic process [GO:0009264]		5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	15486256
Q5UPY1	RNH_MIMIV	Probable ribonuclease H (RNase H) (EC 3.1.26.4)	RNH1 MIMI_R299	Acanthamoeba polyphaga mimivirus (APMV)	212035	229	26,195	3.1.26.4			metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	15486256
Q5UQU2	YR350_MIMIV	Putative ATP-dependent RNA helicase R350 (EC 3.6.4.13)	MIMI_R350	Acanthamoeba polyphaga mimivirus (APMV)	212035	817	95,416	3.6.4.13		virion [GO:0019012]	ATP binding [GO:0005524]; helicase activity [GO:0004386]	15486256; 16971431
Q7T6X5	RPO1_MIMIV	DNA-directed RNA polymerase subunit 1 (EC 2.7.7.6)	RPO1 MIMI_R501	Acanthamoeba polyphaga mimivirus (APMV)	212035	1495	169,839	2.7.7.6	transcription, DNA-templated [GO:0006351]	virion [GO:0019012]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	15486256; 16971431
Q5UQR3	UBPL1_MIMIV	Probable ubiquitin carboxyl-terminal hydrolase R319 (EC 3.4.19.12) (Deubiquitinating enzyme R319) (Ubiquitin thioesterase R319) (Ubiquitin-specific-processing protease R319)	MIMI_R319	Acanthamoeba polyphaga mimivirus (APMV)	212035	468	54,760	3.4.19.12	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]		thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]	15486256
Q5UQ98	YL538_MIMIV	Putative ATP-dependent RNA helicase L538 (EC 3.6.4.13)	MIMI_L538	Acanthamoeba polyphaga mimivirus (APMV)	212035	445	51,580	3.6.4.13		virion [GO:0019012]	ATP binding [GO:0005524]; helicase activity [GO:0004386]	15486256; 16971431
Q5UPQ7	YR771_MIMIV	Putative resolvase R771	MIMI_R771	Acanthamoeba polyphaga mimivirus (APMV)	212035	190	22,172		DNA integration [GO:0015074]; regulation of transcription, DNA-templated [GO:0006355]		DNA binding [GO:0003677]; recombinase activity [GO:0000150]	15486256
Q5UNU9	MGMT_MIMIV	Probable methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	MGMT MIMI_R693	Acanthamoeba polyphaga mimivirus (APMV)	212035	149	16,851	2.1.1.63	DNA repair [GO:0006281]		methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]	15486256
Q5UPF4	YR080_MIMIV	Putative resolvase R80	MIMI_R80	Acanthamoeba polyphaga mimivirus (APMV)	212035	190	22,060		DNA integration [GO:0015074]; regulation of transcription, DNA-templated [GO:0006355]		DNA binding [GO:0003677]; recombinase activity [GO:0000150]	15486256
Q5UP54	YR596_MIMIV	Probable FAD-linked sulfhydryl oxidase R596 (EC 1.8.3.2)	MIMI_R596	Acanthamoeba polyphaga mimivirus (APMV)	212035	292	33,998	1.8.3.2		virion [GO:0019012]	thiol oxidase activity [GO:0016972]	15486256; 16971431
Q5UQP2	YL446_MIMIV	Uncharacterized protein L446 (EC 3.1.1.-)	MIMI_L446	Acanthamoeba polyphaga mimivirus (APMV)	212035	332	37,991	3.1.1.-	lipid catabolic process [GO:0016042]	integral component of membrane [GO:0016021]	hydrolase activity [GO:0016787]	15486256
Q5UR46	YR571_MIMIV	Uncharacterized protein R571 (EC 3.1.1.-)	MIMI_R571	Acanthamoeba polyphaga mimivirus (APMV)	212035	297	33,945	3.1.1.-	lipid catabolic process [GO:0016042]	integral component of membrane [GO:0016021]	hydrolase activity [GO:0016787]	15486256
Q5UQN5	TR443_MIMIV	Thioredoxin domain-containing protein R443	MIMI_R443	Acanthamoeba polyphaga mimivirus (APMV)	212035	164	19,438		cell redox homeostasis [GO:0045454]	host cell membrane [GO:0033644]; integral component of membrane [GO:0016021]; virion [GO:0019012]		15486256; 16971431
Q5UQ59	SYR_MIMIV	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS MIMI_R663	Acanthamoeba polyphaga mimivirus (APMV)	212035	600	68,994	6.1.1.19	arginyl-tRNA aminoacylation [GO:0006420]		arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]	15486256
